"IYCCNTRNO","IYCCNTRAREAID","IYCIVOYID","IYCEVOYID","IYCCTYPECD","IYCCSZCSIZECD","IYCPOTDSTPORT","IYCWEIGHT","IYCDNGFG","IYCREFFG","IYCYLOCATION","IYCPLANFG"
"MSKU6355620","75","","195397","GP","40","USSAV","6003","","","756223",""
"MRKU5352271","B2","","195397","GP","40","USSAV","17435","","","B24232","N"
"MSKU6677714","A3","","195397","GP","40","USSAV","23495","","","A35413","Y"
"MSCU9895290","A3","","195397","GP","40","USSAV","15290","","","A35442","N"
"CAIU4095536","A3","","195397","GP","40","USCHS","8413","","","A33832","N"
"CLHU4591407","B3","","195397","GP","40","USMIA","27508","","","B32653","N"
"EXFU0601444","4A","","195397","TK","20","USCHS","23800","","","4A0161","N"
"CRXU4100109","B3","","195397","GP","40","USJAX","24275","","","B30652","N"
"TTNU5227485","B2","","195397","GP","40","USSAV","23100","","","B23822","N"
"FSCU6376951","20","195654","195397","GP","40","USJAX","8644","","","201622","N"
"MRKU0282232","B3","","195397","GP","40","USJAX","8293","","","B30225","N"
"MSCU8638106","B2","","195397","GP","40","USCHS","14436","","","B25023","N"
"TGHU1054101","B3","","195397","GP","20","USMIA","10550","","","B31111","N"
"CAXU7454082","B3","","195397","GP","40","USMIA","7152","","","B32632","N"
"MRKU3137074","B2","","195397","GP","40","USSAV","20898","","","B23862","N"
"MSCU3935631","B2","","195397","GP","20","USCHS","21244","","","B24531",""
"PONU0009596","B2","","195397","GP","20","USMIA","25200","","","B24542",""
"TCLU5760935","41","195745","195397","GP","40","USJAX","13124","","","412423",""
"CLHU4100817","B3","","195397","GP","40","USJAX","23276","","","B30654","N"
"MSKU6777610","A2","","195397","GP","40","USCHS","8065","","","A23045","N"
"HCIU2077596","A3","","195397","GP","20","USSAV","6865","","","A34712","Y"
"MSKU9011038","75","","195397","GP","40","USSAV","7560","","","755834",""
"MSKU6796420","A3","","195397","GP","40","USSAV","15724","","","A35043","N"
"MRKU0136201","75","195769","195397","GP","40","USSAV","19836","","","752053",""
"PONU0050157","B3","195769","195397","GP","20","USCHS","23103","","","B30941",""
"MRKU9462220","75","195769","195397","GP","20","USCHS","23103","","","753153",""
"TRLU7634133","91","195745","195397","GP","40","USSAV","12600","","","910624",""
"MSKU8862389","71","195745","195397","GP","40","USSAV","12600","","","715021",""
"MSKU5791445","A1","195745","195397","GP","20","USMIA","5370","","","A11931",""
"MSKU8503244","B2","","195397","GP","40","USSAV","16204","","","B23835","N"
"MSKU6974040","B2","","195397","GP","40","USJAX","7975","","","B25432","N"
"MSKU2436391","72","195769","195397","GP","20","USJAX","16709","","","724532",""
"TTNU5940644","87","","195397","GP","40","USSAV","23300","","","877411","N"
"MRKU8654824","B3","","195397","GP","20","USMIA","19000","","","B32312","N"
"MSWU1035179","9C","","195397","RF","40","USCHS","21401","","1","9C0252","N"
"MRKU3272881","71","195751","195397","GP","40","USSAV","12600","","","711013",""
"MSCU1385860","B3","","195397","GP","20","USJAX","19400","","","B30913","N"
"MSKU6284975","B2","","195397","GP","40","USJAX","11459","","","B25431","N"
"MSCU5965893","66","195658","195397","GP","40","USCHS","14725","","","664212",""
"MSCU4249467","72","195658","195397","GP","40","USCHS","14725","","","721411",""
"MSCU7671434","74","195658","195397","HC","40","USCHS","21076","","","743221",""
"TRIU5656191","72","195658","195397","GP","40","USCHS","14725","","","721831",""
"TRLU6601686","72","195658","195397","GP","40","USCHS","14725","","","721842",""
"MRKU5259810","A3","","195397","GP","40","USSAV","7860","","","A35012","N"
"PONU0617390","A2","","195397","GP","20","USSAV","17200","","","A23543","Y"
"MSKU0071695","75","","195397","GP","40","USSAV","7860","","","750624","N"
"MSKU4792703","99","","195397","GP","45","USJAX","15282","","","995851","Y"
"MRKU2722285","B3","","195397","GP","40","USMIA","17722","","","B32614","N"
"MSKU9963199","75","195747","195397","GP","40","USSAV","8644","","","752052","N"
"MRKU9355941","A2","","195397","GP","20","USCHS","18828","","","A23511","N"
"MSKU4614039","99","","195397","GP","45","USSAV","6641","","","994622","Y"
"MSCU7888076","B2","","195397","GP","40","USSAV","13071","","","B24233","N"
"PONU1402170","B2","195839","195397","GP","40","USMIA","25840","","","B25451",""
"MSKU7095528","A3","","195397","GP","20","USCHS","9250","","","A34523","N"
"TGHU7938481","B2","","195397","GP","40","USCHS","11818","","","B25042","N"
"TRLU4085404","B2","","195397","GP","40","USJAX","23212","","","B25441","N"
"MEDU4287041","20","","195397","GP","40","USSAV","28381","","","201643","Y"
"MSCU4713285","20","","195397","GP","40","USSAV","27515","","","201644","Y"
"MSKU0305514","82","195576","195397","HC","40","USSAV","16820","","","823051","Y"
"MSKU1328725","B7","","195397","GP","40","KRPUS","28660","","","B70251","Y"
"PONU0298483","B3","","195397","GP","20","USMIA","7354","","","B31135","N"
"PONU1549074","B2","","195397","GP","40","USSAV","8050","","","B23853","N"
"MRKU2173781","A3","","195397","GP","40","USSAV","13636","","","A35022","N"
"PONU1683226","A3","","195397","GP","40","USSAV","19439","","","A35414","Y"
"MSWU0080194","A3","","195397","RF","40","USSAV","25300","","","A35053","Y"
"TGHU4210039","B2","","195397","GP","40","KRPUS","21458","","","B25031","Y"
"MSKU6685392","A3","","195397","GP","40","USSAV","14163","","","A35412","Y"
"TGHU8328349","73","195626","195397","HC","40","USMIA","26430","","","730642",""
"MRKU3563819","53","","195397","GP","40","USSAV","18918","","","530232","N"
"XINU4013671","A2","","195397","GP","40","USJAX","13975","","","A21861","N"
"GLDU4080540","20","","195397","GP","40","USSAV","28438","","","205411","Y"
"MSKU1906470","20","","195397","GP","40","USCHS","26212","","","204612","N"
"MSKU1147408","61","195191","195397","HC","40","USJAX","24247","","","616041",""
"MSKU9857978","74","195191","195397","HC","40","USJAX","24247","","","745832",""
"MSKU8947465","41","195191","195397","HC","40","USJAX","24247","","","412821",""
"MSKU4773827","99","","195397","GP","45","USCHS","18571","","","995862","Y"
"MSKU9564537","51","195191","195397","HC","40","USJAX","25600","","","514442",""
"CAIU2270455","B3","","195397","GP","20","USMIA","19000","","","B32311","N"
"MSKU7097032","A1","195745","195397","GP","20","USJAX","6868","","","A11932",""
"MSCU4893401","A2","","195397","GP","40","USJAX","13975","","","A21863","N"
"GLDU4140721","A2","","195397","GP","40","USMIA","13975","","","A21851","N"
"MSKU3317967","W8","","195397","GP","20","USSAV","10800","9","","W81743","Y"
"FSCU3220760","W5","","195397","GP","20","USCHS","11504","8","","W54932","Y"
"WWWU9703458","W8","","195397","GP","40","USCHS","12868","9","","W84831","Y"
"MRKU8089127","B0","195745","195397","GP","20","USMIA","7462","","","B01943",""
"UESU4559649","91","195745","195397","GP","40","USSAV","12600","","","911044",""
"FSCU8002415","B3","195745","195397","GP","40","USJAX","12723","","","B33421",""
"INKU6696881","81","195745","195397","GP","40","USJAX","13070","","","815044",""
"MEDU8744969","81","195745","195397","GP","40","USJAX","12980","","","814642",""
"MSCU7823075","74","195745","195397","GP","40","USJAX","13576","","","745843",""
"MEDU8646303","81","195745","195397","GP","40","USJAX","17687","","","817024",""
